X,Y
0.00,25.00
1.00,26.40
2.00,27.80
3.00,29.20
4.00,30.60
5.00,32.00
6.00,33.40
7.00,34.80
8.00,36.20
9.00,37.60
10.00,39.00
11.00,40.40
12.00,41.80
13.00,43.20
14.00,44.60
15.00,46.00
16.00,47.40
17.00,48.80
18.00,50.20
19.00,51.60
20.00,53.00
21.00,54.40
22.00,55.80
23.00,57.20
24.00,58.60
25.00,60.00
26.00,61.40
27.00,62.80
28.00,64.20
29.00,65.60
30.00,67.00
31.00,68.40
32.00,69.80
33.00,71.20
34.00,72.60
35.00,74.00
36.00,75.40
37.00,76.80
38.00,78.20
39.00,79.60
40.00,81.00
41.00,82.40
42.00,83.80
43.00,85.20
44.00,86.60
45.00,88.00
46.00,89.40
47.00,90.80
48.00,92.20
49.00,93.60
50.00,95.00
51.00,96.40
52.00,97.80
53.00,99.20
54.00,100.60
55.00,102.00
56.00,103.40
57.00,104.80
58.00,106.20
59.00,107.60
60.00,109.00
61.00,110.40
62.00,111.80
63.00,113.20
64.00,114.60
65.00,116.00
66.00,117.40
67.00,118.80
68.00,120.20
69.00,121.60
70.00,123.00
71.00,124.40
72.00,125.80
73.00,127.20
74.00,128.60
75.00,130.00
76.00,131.40
77.00,132.80
78.00,134.20
79.00,135.60
80.00,137.00
81.00,138.40
82.00,139.80
83.00,141.20
84.00,142.60
85.00,144.00
86.00,145.40
87.00,146.80
88.00,148.20
89.00,149.60
90.00,151.00
91.00,152.40
92.00,153.80
93.00,155.20
94.00,156.60
95.00,158.00
96.00,159.40
97.00,160.80
98.00,162.20
99.00,163.60
100.00,165.00
